2025-10-08 00:20:27,834 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:20:30,242 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:20:32,590 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:20:54,987 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:20:57,372 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:20:59,687 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:21:21,441 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:21:24,308 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:21:26,753 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:21:49,288 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:21:53,852 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:22:00,614 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:22:22,575 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:22:25,174 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:22:27,561 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='TORNTPOWER 28 OCT 1240 CALL', exchange='NFO', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:32:17,673 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='LODHA', exchange='NSE', timeframe='1') - Queue size after add: 1, Max allowed: 5
2025-10-08 00:32:17,674 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='OBEROIRLTY', exchange='NSE', timeframe='1') - Queue size after add: 2, Max allowed: 5
2025-10-08 00:32:17,674 - INFO - CALL_ALLOWED - DATA_API - tsl.get_historical_data(tradingsymbol='PHOENIXLTD', exchange='NSE', timeframe='1') - Queue size after add: 3, Max allowed: 5
